Overall;State;Workforce;Cost of Doing Business;Infra-structure;Economy;Quality of Life;Technology and Innovation;Education;Business Friendliness;Cost of Living;Access to Capital;Population_Estimate;Unemplyment_rate;% of adults with high school diploma;Felony;Robbery
1;Utah;12;19;13;3;13;16;23;10;22;24;2990632;3.5;91.2;1270.0;16333.0
2;Texas;8;23;2;1;37;10;40;18;21;7;27429639;4.5;81.9;21060.0;122184.0
3;Colorado;1;37;29;2;12;8;25;9;32;8;5448819;3.9;90.7;2469.0;17928.0
4;Minnesota;15;35;5;17;2;9;2;27;27;21;5482435;3.7;92.4;1434.0;16336.0
5;North Carolina;9;18;30;11;30;7;28;15;18;2;10035186;5.7;85.8;4683.0;50396.0
6;Washington;11;30;39;6;8;1;24;30;37;10;7160290;5.7;90.4;4233.0;45639.0
7;Michigan;29;12;27;7;32;6;19;30;10;4;9917715;5.4;89.6;5081.0;28931.0
8;Georgia;7;31;4;9;37;13;33;14;17;6;10199398;5.9;85.4;15105.0;124515.0
9;Iowa;37;2;16;29;9;23;17;15;12;40;3121997;3.7;91.5;1027.0;5519.0
10;Florida;14;32;10;4;26;17;26;22;28;14;20244914;5.4;86.9;39074.0;218337.0
11;Nebraska;19;15;20;19;18;31;9;7;15;31;1893765;3;90.7;534.0;4266.0
12;North Dakota;4;29;6;26;7;44;14;4;26;33;756835;2.7;91.7;264.0;2741.0
13;Virginia;3;36;32;30;16;15;5;3;30;15;8367587;4.4;88.3;6462.0;69319.0
13;Wyoming;6;21;12;14;11;48;3;21;29;50;586555;4.2;92.3;368.0;1748.0
15;Idaho;28;6;25;12;20;34;49;5;7;22;1652828;4.1;89.5;969.0;6488.0
16;Indiana;36;1;1;20;45;26;29;13;8;18;6612768;4.8;87.8;1809.0;17990.0
17;Oregon;31;27;37;5;6;14;34;38;36;22;4024634;5.7;89.8;785.0;9922.0
18;Tennessee;22;10;2;21;46;24;40;6;5;17;6595056;5.8;85.5;7347.0;40730.0
19;South Dakota;32;4;28;33;14;44;21;2;20;32;857919;3.1;90.9;388.0;1898.0
20;Massachusetts;2;46;42;18;17;3;1;20;44;19;6784240;5;89.8;;
21;Ohio;43;15;7;22;34;21;13;37;9;9;11605090;4.9;89.1;2574.0;40468.0
22;Montana;45;8;24;13;10;40;27;23;24;40;1032073;4.1;92.8;1278.0;7583.0
23;Wisconsin;26;28;19;31;15;19;11;36;23;13;5767891;4.6;91.0;1426.0;14770.0
24;Illinois;16;24;16;34;35;11;4;48;34;1;12839047;5.9;87.9;2272.0;15715.0
25;Arizona;5;40;16;15;32;22;47;8;31;28;6817565;6.1;86.0;3098.0;23053.0
26;New Hampshire;26;39;49;16;4;29;11;1;42;43;1330111;3.4;92.3;15.0;77.0
28;Kansas;30;26;8;39;37;28;9;19;16;42;2906721;4.2;90.2;1099.0;7834.0
29;New York;35;44;43;10;22;4;8;45;49;11;19747183;5.3;85.6;4605.0;48464.0
31;Missouri;49;14;9;34;49;25;14;15;11;20;6076204;5;88.4;5544.0;30880.0
32;California;21;49;33;8;23;2;38;50;47;2;38993940;6.2;81.8;24994.0;105500.0
33;Pennsylvania;33;34;35;42;29;12;21;35;35;12;12791904;5.1;89.2;69.0;190.0
34;New Jersey;16;42;44;36;19;17;6;44;41;5;8935421;5.6;88.6;1633.0;2943.0
35;Kentucky;46;5;14;40;42;37;29;41;2;38;4424611;5.4;84.2;822.0;12335.0
36;Vermont;47;43;41;26;3;30;7;30;40;49;626088;3.7;91.8;30.0;196.0
37;Delaware;13;38;36;26;28;27;45;11;48;46;944076;4.9;88.4;1008.0;4480.0
38;Alabama;38;17;21;48;43;36;46;30;4;16;4853875;6.1;84.3;3954.0;25447.0
39;New Mexico;42;24;14;38;36;33;34;43;25;46;2080328;6.6;84.2;2174.0;7169.0
40;Nevada;23;22;11;37;41;42;50;23;33;44;2883758;6.7;85.1;852.0;5149.0
41;Arkansas;34;9;21;32;50;47;36;42;3;39;2977853;5.2;84.8;3352.0;18035.0
42;Oklahoma;41;13;26;44;48;43;44;12;6;35;3907414;4.2;86.9;1706.0;12346.0
43;Connecticut;18;47;47;43;25;19;18;29;46;25;3584730;5.6;89.9;;
45;Alaska;38;41;37;41;20;41;37;25;45;36;737709;6.5;92.1;;
47;Mississippi;44;3;31;50;44;50;48;47;1;34;2989390;6.5;82.3;929.0;9690.0
47;West Virginia;40;11;39;47;40;49;32;49;13;48;1841053;6.7;85.0;1395.0;5309.0
49;Hawaii;48;50;46;25;1;38;43;46;50;37;1425157;3.6;91.0;557.0;6005.0
50;Rhode Island;23;45;50;45;24;35;20;39;43;45;1055607;6;86.2;;
